# Freedman 2019 CCHP VIII Table 3 — TRGB Calibrator Distances (FULL)
# Source: Freedman, Madore, Hatt, Hoyt, Jang, et al. 2019, ApJ 882, 34 (arXiv:1907.05922)
# DOI: 10.3847/1538-4357/ab2f73
# Transcribed 2026-04-24 from the paper PDF (Section 5, Table 3) — full
# columnar data including per-SN calibrator peak magnitudes in BOTH the
# CSP-I and SuperCal photometric systems.
#
# Columns:
#   SN           SN Ia calibrator name
#   Galaxy       host galaxy abbreviation (e.g. N1316)
#   mu_TRGB      TRGB distance modulus (mag); empty if not TRGB-measured
#   sigma_T      1σ on mu_TRGB; empty if absent
#   trgb_source  "CCHP" or "JL" (Jang & Lee 2017); empty if absent
#   m_B_CSP      CSP-I standardized peak B-band magnitude (mag)
#   sigma_B_CSP  1σ on m_B_CSP
#   mu_Ceph      Cepheid distance modulus (Riess 2016 Table 5); empty if absent
#   sigma_C      1σ on mu_Ceph
#   m_B_SuperCal SuperCal system standardized peak m_B (mag); empty if absent
#   sigma_B_SC   1σ on m_B_SuperCal
#   V_NED_kms    CMB-frame velocity from NED (km/s)
#   host_canon   canonical host name used across the pipeline
#
# Spot-checks (verified 2026-04-24 vs paper text):
#   SN 2012fr NGC 1365: m_B^CSP = 12.09, m_B^SC = 11.92  ✓
#   SN 1981B  NGC 4536: m_B^CSP = 11.64, m_B^SC = 11.62  ✓
#   SN 2011fe M101:     m_B^CSP = 9.82,  m_B^SC = 9.75   ✓
SN,Galaxy,mu_TRGB,sigma_T,trgb_source,m_B_CSP,sigma_B_CSP,mu_Ceph,sigma_C,m_B_SuperCal,sigma_B_SC,V_NED_kms,host_canon
1980N,N1316,31.46,0.04,CCHP,12.08,0.06,,,,,1306,NGC 1316
1981B,N4536,30.96,0.05,CCHP,11.64,0.04,30.91,0.05,11.62,0.12,1050,NGC 4536
1981D,N1316,31.46,0.04,CCHP,11.99,0.17,,,,,1306,NGC 1316
1989B,N3627,30.22,0.04,CCHP,11.16,0.07,,,,,689,NGC 3627
1990N,N4639,,,,12.62,0.05,31.53,0.07,12.42,0.12,1050,NGC 4639
1994D,N4526,31.00,0.07,CCHP,11.76,0.04,,,,,1050,NGC 4526
1994ae,N3370,32.27,0.05,JL,12.94,0.05,32.07,0.05,12.92,0.12,1552,NGC 3370
1995al,N3021,32.22,0.05,JL,13.02,0.05,32.50,0.09,12.97,0.12,1886,NGC 3021
1998aq,N3982,,,,12.46,0.05,31.74,0.07,12.24,0.12,1368,NGC 3982
1998bu,N3368,30.31,0.04,CCHP,11.01,0.06,,,,,689,NGC 3368
2001el,N1448,31.32,0.06,CCHP,12.30,0.04,31.31,0.04,12.20,0.12,1047,NGC 1448
2002fk,N1309,32.50,0.07,JL,13.33,0.04,32.52,0.06,13.20,0.12,1864,NGC 1309
2003du,U9391,,,,13.47,0.09,32.92,0.06,13.47,0.11,2422,UGC 9391
2005cf,N5917,,,,12.96,0.07,32.26,0.1,13.01,0.12,2244,NGC 5917
2006dd,N1316,31.46,0.04,CCHP,12.38,0.03,,,,,1306,NGC 1316
2007af,N5584,31.82,0.10,JL,12.72,0.05,31.79,0.05,12.70,0.12,1983,NGC 5584
2007on,N1404,31.42,0.05,CCHP,12.39,0.07,,,,,1306,NGC 1404
2007sr,N4038,31.68,0.05,JL,12.30,0.15,31.29,0.11,12.24,0.11,1702,NGC 4038
2009ig,N1015,,,,13.29,0.05,32.50,0.08,13.46,0.12,2534,NGC 1015
2011by,N3972,,,,12.63,0.05,31.59,0.07,12.49,0.12,1368,NGC 3972
2011fe,M101,29.08,0.04,CCHP,9.82,0.03,29.14,0.04,9.75,0.12,455,M101
2011iv,N1404,31.42,0.05,CCHP,12.03,0.06,,,,,1306,NGC 1404
2012cg,N4424,31.00,0.06,CCHP,11.72,0.06,31.08,0.29,11.55,0.11,1050,NGC 4424
2012fr,N1365,31.36,0.05,CCHP,12.09,0.03,31.31,0.06,11.92,0.12,1302,NGC 1365
2012ht,N3447,,,,12.66,0.12,31.91,0.04,12.70,0.12,1447,NGC 3447
2013dy,N7250,,,,12.23,0.07,31.50,0.08,12.31,0.12,1410,NGC 7250
2015F,N2442,,,,12.40,0.03,31.51,0.05,12.28,0.14,1271,NGC 2442
